# References for common names of stars and DSOs
#
# RefID | Description                                          | URL (if exists)
#------ | ---------------------------------------------------- | ---------------
     35 | Baylor University, School of Engineering and Computer Science, Astronomy observing log.|http://cs.baylor.edu/~hamerly/personal/astro/log.html
     36 | IAU100 NameExoWorlds                                  | http://nameexoworlds.iau.org/
     37 | High Proper Motion Stars In The Hipparcos Catalogue   | https://www.cosmos.esa.int/web/hipparcos/high-proper-motion|
     WK | Well-known name which does not need special source. Typically annotated for naked-eye or Messier-like bright objects with names given until the late 20th century. "Common knowledge" for average amateurs, and the preferred name when alternative names are given.
   B500 | The 500 Best Deep Sky Objects' by Don Pensack         | https://www.cloudynights.com/topic/472872-500-best-dso-list/
    ST1 | The Summer Triangle Makes its Midnight Debut          | http://www.skyandtelescope.com/observing/the-summer-triangle-makes-its-midnight-debut/
    ST2 | Galaxies in Collision // Sky & Telescope, Vol. 133, N5, p.28-33 (May 2017)
    ST3 | Aquila's Gems // Sky & Telescope, Vol. 136, N2, p.34-39 (August 2018)
    ST4 | The Best Abell Planetary Nebulae // Sky & Telescope, p.98-102 (May 2002)
    ST5 | Come the Night  // Sky & Telescope, p.54-56 (Nov 2019)
    NED | Named Galaxies                                        | https://ned.ipac.caltech.edu/level5/CATALOGS/naga.html
   SEDS | A Collection of Some Common Names for Deep Sky Objects| http://messier.seds.org/xtra/supp/d-names.html
 SIMBAD | 2000,A&AS,143,9, "The SIMBAD astronomical database", Wenger et al.| http://simbad.u-strasbg.fr/simbad/
     WP | Wikipedia entries for the respective objects
   OGSC | Observer’s Guide to Star Clusters by Mike Inglis, Springer, 2013| https://books.google.ru/books?id=ewHABAAAQBAJ
  APOD1 | IC 4592: A Blue Horsehead                             | https://apod.nasa.gov/apod/ap090521.html
  APOD3 | NGC 6979: Fleming's Triangular Wisp                   | https://apod.nasa.gov/apod/ap150917.html
  APOD4 | RCW 114: A Dragon's Heart in Ara                      | https://apod.nasa.gov/apod/ap180111.html
  APOD5 | Barnard 228: The Dark Wolf Nebula in Lupus            | https://apod.nasa.gov/apod/ap180726.html
  APOD6 | NGC 1360: The Robin's Egg Nebula                      | https://apod.nasa.gov/apod/ap180511.html
  APOD7 | NGC 7635: The Bubble Nebula                           | https://apod.nasa.gov/apod/ap180419.html
  APOD8 | NGC 6960: The Witch's Broom Nebula                    | https://apod.nasa.gov/apod/ap180408.html
  APOD9 | Sharpless 249 and the Jellyfish Nebula                | https://apod.nasa.gov/apod/ap180323.html
 APOD10 | NGC 7789: Caroline's Rose                             | https://apod.nasa.gov/apod/ap171115.html
 APOD11 | The Great Nebula in Carina                            | https://apod.nasa.gov/apod/ap170613.html
 APOD12 | NGC 3628: The Hamburger Galaxy                        | https://apod.nasa.gov/apod/ap170503.html
 APOD13 | The Porpoise Galaxy from Hubble                       | https://apod.nasa.gov/apod/ap170206.html
 APOD14 | A Giant Squid in the Flying Bat                       | https://apod.nasa.gov/apod/ap161027.html
 APOD15 | NGC 3576: The Statue of Liberty Nebula                | https://apod.nasa.gov/apod/ap160928.html
 APOD16 | IC 4628: The Prawn Nebula                             | https://apod.nasa.gov/apod/ap160704.html
 APOD17 | NGC 6872: A Stretched Spiral Galaxy                   | https://apod.nasa.gov/apod/ap160426.html
 APOD18 | The Fox Fur Nebula                                    | https://apod.nasa.gov/apod/ap151230.html
 APOD19 | Methuselah Nebula                                     | https://apod.nasa.gov/apod/ap101021.html
    HST | Hubble offers a dazzling necklace                     | https://spacetelescope.org/images/potw1133a/
   ABIN | Sharpless 2-132: the Lion Nebula in Cepheus - a two-panel mosaic in 'Hubble Palette' (SHO)| https://www.astrobin.com/356827/F/
     UT | Messier 55 – the NGC 6809 Globular Star Cluster       | https://www.universetoday.com/36216/messier-55/
     AM | Messier 55 "The Summer Rose Star"                     | http://cs.astronomy.com/asy/m/starclusters/489919.aspx
    DSW | Deep-Sky Wonders: A Tour of the Universe with Sky and Telescope's Sue French, Firefly Books, 2011
    TSS | Treasures of the Southern Sky by Robert Gendler, Lars Lindberg Christensen and David Malin, Springer-Verlag New York, 2011; DOI: 10.1007/978-1-4614-0628-0
    BCH | Robert Burnham Jr., Burnham's Celestial Handbook: An Observer's Guide to the Universe Beyond the Solar System, Vol. 1-3, Dover Publications, 1978-1979
    DWH | Walter Scott Houston, Stephen James O'Meara, Deep-Sky Wonders, Sky Pub Cor, 1999. ISBN 0-933346-93-X
     SG | Deep-Sky Companions: Southern Gems by Stephen James O'Meara, Cambridge University Press, 2013. ISBN 978-1107015012
     HT | Deep-Sky Companions: Hidden Treasures by Stephen James O'Meara, Cambridge University Press, 2007. ISBN 978-0521837040
     SD | Deep-Sky Companions: The Secret Deep by Stephen James O'Meara, Cambridge University Press, 2011. ISBN 978-0521198769
    SOG | The sky observer's guide: A handbook for amateur astronomers (A Golden guide) by R. Newton Mayall, Margaret Mayall and Jerome Wyckoff, Golden Press, 1985.
     PN | Planetary Nebulae: A Practical Guide and Handbook for Amateur Astronomers : Includes 253 Finder Charts and a Catalog of 1340 Objects by Steven J. Hynes, Willmann-Bell, 1992. ISBN 978-0943396309
    WSO | Observing and Cataloguing Nebulae and Star Clusters: From Herschel to Dreyer's New General Catalogue by Wolfgang Steinicke, Cambridge University Press, 2010. ISBN 978-0521192675
    WSG | Galaxies and How to Observe Them (Astronomers' Observing Guides) by  Wolfgang Steinicke and Richard Jakiel, Springer, 2007. ISBN 978-1852337520
    PSA | Sky & Telescope's Pocket Sky Atlas by Roger W. Sinnott, Sky Publishing, 2006. ISBN 1-931559-31-7
     BH | Binocular Highlights: 99 Celestial Sights for Binocular Users (Sky & Telescope Stargazing) by Gary Seronik, Sky Publishing, 2007. ISBN 978-1931559430
     CC | Concise Catalog of Deep-sky Objects: Astrophysical Information for 500 Galaxies, Clusters and Nebulae by W.H. Finlay, Springer, 2003. ISBN 978-1852336912
     DN | Dark Nebulae, Dark Lanes, and Dust Belts (The Patrick Moore Practical Astronomy Series) by Antony Cooke, Springer, 2012. ASIN B00A9YFVXS
    DAN | Adrian Room. Dictionary of Astronomical Names, Routledge, London and New York, 1988. ISBN 0-415-012988
   DSNI | Maddocks, Hugh C. (1991). Deep-Sky Name Index 2000.0. Foxon-Maddocks Associates. ISBN 0-9628305-0-X
    DWB | Catalogue and distances of optically visible H II regions. [1969A&A.....1..270D]
    CCG | Josef Klepesta, Antonin Rukl (1977). Constellations: A concise guide in colour. ISBN 0600008932.
   SBSX | Asterisms in Camelopardalis.                           | https://www.bisque.com/tom/asterisms/camela.asp
 CSOMSC | Clear Skies Observing Guides: Melotte Star Clusters.   | http://www.clearskies.eu/csog/download/index/starclusters/Melotte%20-%20index.pdf
